Status,Tag,Category,Brand,Product Name,Price USD,Condition,Short Description,Image 1,Image 2,Image 3
Live,Featured,bags,Dior,"Cannage lambskin flap, rose",4050,Excellent,"Cannage-quilted lambskin, aged gold hardware.",assets/products/IMG_6733.jpg,,
Live,Best seller,bags,Saint Laurent,"Metallic calf flap, silver",2350,Very good,"Metallic calfskin, chain-and-leather strap.",assets/products/IMG_6673.jpg,,
Live,Featured,bags,Bottega Veneta,"Leather micro shopper, ivory",1900,Excellent,"Intrecciato leather, drawstring top.",assets/products/IMG_6704.jpg,,
Live,New in,bags,Chanel,"Croc-effect flap, cobalt",5200,Excellent,"Croc-embossed calfskin, gold-tone hardware.",assets/products/IMG_6668.jpg,,
Live,New in,bags,Chanel,"Quilted round bag, cobalt",3050,Excellent,"Lambskin, round silhouette, chain strap.",assets/products/IMG_6759.jpg,,
Live,New in,bags,Gucci,GG floral zip pouch,1130,Very good,"GG canvas with floral print, top handle.",assets/products/IMG_6773.jpg,,
Live,New in,bags,Bottega Veneta,"Micro tote, ivory",1700,Excellent,Woven leather micro tote.,assets/products/IMG_6712.jpg,,
Live,Featured,bags,Louis Vuitton,"Monogram mini pouch, blue",1590,Very good,"Monogram canvas, leather trim.",assets/products/IMG_6652.jpg,,
Live,Sale,bags,Chanel,"Quilted flap wallet, noir",1250,Good,"Lambskin flap wallet, CC turnlock.",assets/products/IMG_6646.jpg,,
Live,Sale,bags,Chanel,"Patent wallet-on-chain, noir",2100,Very good,"Patent leather WOC, chain strap.",assets/products/IMG_6644.jpg,,
Live,Featured,bags,Hermès,Birkin 30 Togo,23350,Excellent,"Togo leather, palladium hardware.",assets/products/IMG_6656.jpg,,
Live,Best seller,bags,Chanel,"Classic Flap, medium",11700,Excellent,"Caviar leather, gold-tone hardware.",assets/products/IMG_6690.jpg,,
Live,Featured,bags,Louis Vuitton,Capucines BB,7175,Excellent,"Taurillon leather, sculptural handle.",assets/products/IMG_6701.jpg,,
Live,,bags,Dior,"Lady Dior, medium",6725,Very good,"Cannage lambskin, Dior charms.",assets/products/IMG_6679.jpg,,
Live,New in,bags,Bottega Veneta,Andiamo Intreccio,5200,Excellent,"Intrecciato leather, structured top handle.",assets/products/IMG_6727.jpg,,
Live,,bags,Celine,Triomphe Besace,3750,Very good,"Smooth calfskin, Triomphe hardware.",assets/products/IMG_6729.jpg,,
Live,,bags,Prada,Galleria Saffiano,3300,Good,"Saffiano leather, structured tote.",assets/products/IMG_6785.jpg,,
Live,Best seller,bags,Fendi,Peekaboo ISeeU,6100,Excellent,"Nappa leather, signature twist lock.",assets/products/IMG_6948.jpg,,
Live,Best seller,belts,Louis Vuitton,Monogram belt,530,Very good,"Monogram canvas, reversible.",assets/products/IMG_6963.jpg,,
Live,Featured,belts,Dior,"Pendant necklace, silver",825,Excellent,"Sterling silver, CD signature pendant.",assets/products/IMG_7226.jpg,,
Live,Featured,belts,Cartier,Fine station necklace,1400,Excellent,Sterling silver station chain.,assets/products/IMG_7225.jpg,,
Live,Featured,belts,Cartier,"Love bracelet, yellow gold",8575,Excellent,"18k yellow gold, signature screw motif.",assets/products/IMG_6958.jpg,,
Live,Best seller,belts,Gucci,"GG Marmont, reversible",545,Very good,"GG canvas, reversible leather belt.",assets/products/IMG_7269.jpg,,
Live,,belts,Saint Laurent,Monogram zip wallet,660,Good,Grain de poudre leather zip wallet.,assets/products/IMG_7285.jpg,,
Live,Featured,belts,Hermès,Constance reversible belt,940,Excellent,Box calf / Togo reversible strap.,assets/products/IMG_6663.jpg,,
Live,,belts,Prada,Symbole acetate sunglasses,430,Very good,"Acetate frame, Symbole hardware.",assets/products/IMG_6751.jpg,,
Live,,belts,Van Cleef & Arpels,Alhambra pendant,4050,Excellent,"18k gold, mother-of-pearl motif.",assets/products/IMG_6745.jpg,,
Live,Best seller,belts,Louis Vuitton,Initiales 40mm belt,775,Very good,"Monogram canvas, LV initials buckle.",assets/products/IMG_6650.jpg,,
Live,Best seller,watches,Rolex,Datejust 41 Wimbledon,15175,Excellent,"Steel, Wimbledon dial, jubilee bracelet.",,,
Live,Featured,watches,Audemars Piguet,Royal Oak 41,53350,Excellent,"Steel, octagonal bezel, integrated bracelet.",,,
Live,,watches,Omega,Speedmaster Professional,8125,Very good,"Steel chronograph, hesalite crystal.",,,
Live,Featured,watches,Cartier,"Santos de Cartier, large",9075,Excellent,"Steel, signature screw motif.",,,
Live,,watches,Patek Philippe,Nautilus 5711,162500,Excellent,"Steel, integrated bracelet, discontinued reference.",,,
Live,Best seller,watches,Rolex,Submariner Date,18000,Very good,"Steel, ceramic bezel, date function.",,,
Live,,watches,Omega,Seamaster 300M,6275,Very good,"Steel, wave-pattern dial, diver 300m.",,,
Live,New in,watches,Cartier,"Tank Must, large",3950,Excellent,"Steel, Roman numerals, quartz movement.",,,
Hidden,,bags,Example Brand,Example Item — set Status to Hidden to take it off the site,500,Good,Delete this row or edit it to add your own product.,,, 
